"source_key","osm_type","osm_id","source_version","source_timestamp","scope","categories","source_geometry_types","selected_geometry_family","name","primary_tag","height","building_levels","derived_world_status","derived_object_key","notes","tags_json"
"w26767311","way","26767311","33","2024-07-22T22:08:21Z","context","context_island","LineString|MultiPolygon","area","Yerba Buena Island","place=island","","","not_started","","Non-playable context; excluded from playable completeness denominator","{""ele"":""98"",""gnis:feature_id"":""255246"",""name"":""Yerba Buena Island"",""old_name"":""Sea Bird Island;Wood Island;Goat Island"",""place"":""island"",""source"":""PGS"",""wikidata"":""Q768669"",""wikipedia"":""en:Yerba Buena Island""}"
"r13543937","relation","13543937","1","2021-12-13T01:57:13Z","context","context_bridge","","collection","San Francisco–Oakland Bay Bridge East Span","man_made=bridge","","","not_started","","Non-playable context; excluded from playable completeness denominator","{""layer"":""1"",""man_made"":""bridge"",""name"":""San Francisco–Oakland Bay Bridge East Span"",""type"":""site"",""wikipedia"":""en:San Francisco–Oakland Bay Bridge""}"
"r13543938","relation","13543938","2","2023-02-05T02:28:24Z","context","context_bridge","","collection","San Francisco–Oakland Bay Bridge","context_bridge","","","not_started","","Non-playable context; excluded from playable completeness denominator","{""name"":""San Francisco–Oakland Bay Bridge"",""type"":""site"",""wikidata"":""Q771404"",""wikipedia"":""en:San Francisco–Oakland Bay Bridge""}"
"w1011568818","way","1011568818","4","2024-02-11T06:47:31Z","context","context_bridge","LineString|MultiPolygon","area","San Francisco–Oakland Bay Bridge West Span","man_made=bridge","","","not_started","","Non-playable context; excluded from playable completeness denominator","{""alt_name"":""Willie L. Brown Jr. Bridge"",""bridge:structure"":""suspension"",""layer"":""1"",""man_made"":""bridge"",""name"":""San Francisco–Oakland Bay Bridge West Span"",""wikipedia"":""en:San Francisco–Oakland Bay Bridge""}"
"w26767313","way","26767313","29","2023-11-11T07:31:19Z","playable","land_boundary","LineString|MultiPolygon","area","Treasure Island","place=island","","","not_started","","Exact playable clipping polygon and land-shell source","{""name"":""Treasure Island"",""name:de"":""Schatzinsel"",""place"":""island"",""source"":""PGS"",""wikidata"":""Q778565"",""wikipedia"":""en:Treasure Island, San Francisco""}"
"r16681104","relation","16681104","1","2023-11-11T07:31:19Z","playable","terrain_shoreline","MultiPolygon","area","","man_made=breakwater","","","not_started","","","{""man_made"":""breakwater"",""material"":""rock""}"
"w26767328","way","26767328","6","2026-01-31T18:57:13Z","playable","terrain_shoreline","MultiPolygon","area","","man_made=breakwater","","","not_started","","","{""area"":""yes"",""man_made"":""breakwater"",""material"":""rock""}"
"w29399800","way","29399800","38","2024-07-22T22:08:21Z","playable","terrain_shoreline","LineString|MultiPolygon","line","","natural=coastline","","","not_started","","Spans TI and YBI; clip to or document composite representation by w26767313","{""natural"":""coastline"",""source"":""PGS""}"
"w109025891","way","109025891","2","2024-05-17T01:31:50Z","playable","terrain_shoreline","LineString|MultiPolygon","area","","natural=sand","","","not_started","","","{""natural"":""sand""}"
"w109025892","way","109025892","2","2024-05-17T01:31:50Z","playable","terrain_shoreline","LineString|MultiPolygon","area","","natural=sand","","","not_started","","","{""natural"":""sand""}"
