"source_key","osm_type","osm_id","scope","categories","source_version","derived_world_status","derived_object_key","part_keys","chunk_ids","representation_kind","dimension_rule","height_m","composite_key","note","vertex_count","triangle_count","collision_triangle_count","validation"
"w26767311","way","26767311","context","context_island","33","context","context:ybi","context:ybi","","direct","","","","","4046","2146","0","pass"
"r13543937","relation","13543937","context","context_bridge","1","composite_member","context:bay-bridge","context:bay-bridge","","composite","","","context:bay-bridge","Three bridge anchors share one context-only composite","713","747","0","pass"
"r13543938","relation","13543938","context","context_bridge","2","composite_member","context:bay-bridge","context:bay-bridge","","composite","","","context:bay-bridge","Three bridge anchors share one context-only composite","713","747","0","pass"
"w1011568818","way","1011568818","context","context_bridge","4","composite_member","context:bay-bridge","context:bay-bridge","","composite","","","context:bay-bridge","Three bridge anchors share one context-only composite","713","747","0","pass"
"w26767313","way","26767313","playable","land_boundary","29","represented","land:w26767313","land:w26767313:x_-1__z_-1;land:w26767313:x_-1__z_-2;land:w26767313:x_-1__z_-3;land:w26767313:x_-1__z_-4;land:w26767313:x_-1__z_0;land:w26767313:x_-1__z_1;land:w26767313:x_-1__z_2;land:w26767313:x_-1__z_3;land:w26767313:x_-2__z_-1;land:w26767313:x_-2__z_-2;land:w26767313:x_-2__z_-3;land:w26767313:x_-2__z_-4;land:w26767313:x_-2__z_0;land:w26767313:x_-2__z_1;land:w26767313:x_-2__z_2;land:w26767313:x_-3__z_-1;land:w26767313:x_-3__z_-2;land:w26767313:x_-3__z_-3;land:w26767313:x_-3__z_-4;land:w26767313:x_-3__z_0;land:w26767313:x_0__z_-1;land:w26767313:x_0__z_-2;land:w26767313:x_0__z_-3;land:w26767313:x_0__z_-4;land:w26767313:x_0__z_0;land:w26767313:x_0__z_1;land:w26767313:x_0__z_2;land:w26767313:x_0__z_3;land:w26767313:x_1__z_-1;land:w26767313:x_1__z_-2;land:w26767313:x_1__z_-3;land:w26767313:x_1__z_0;land:w26767313:x_1__z_1;land:w26767313:x_1__z_2;land:w26767313:x_2__z_-1;land:w26767313:x_2__z_0;land:w26767313:x_2__z_1;land:w26767313:x_2__z_2","x_-3__z_-4;x_-3__z_-3;x_-3__z_-2;x_-3__z_-1;x_-3__z_0;x_-2__z_-4;x_-2__z_-3;x_-2__z_-2;x_-2__z_-1;x_-2__z_0;x_-2__z_1;x_-2__z_2;x_-1__z_-4;x_-1__z_-3;x_-1__z_-2;x_-1__z_-1;x_-1__z_0;x_-1__z_1;x_-1__z_2;x_-1__z_3;x_0__z_-4;x_0__z_-3;x_0__z_-2;x_0__z_-1;x_0__z_0;x_0__z_1;x_0__z_2;x_0__z_3;x_1__z_-3;x_1__z_-2;x_1__z_-1;x_1__z_0;x_1__z_1;x_1__z_2;x_2__z_-1;x_2__z_0;x_2__z_1;x_2__z_2","direct","","","land:w26767313","","6968","3548","3548","pass"
"r16681104","relation","16681104","playable","terrain_shoreline","1","represented","terrain:r16681104","terrain:r16681104:x_-1__z_3;terrain:r16681104:x_0__z_2;terrain:r16681104:x_0__z_3","x_-1__z_3;x_0__z_2;x_0__z_3","direct","","","","","92","44","0","pass"
"w26767328","way","26767328","playable","terrain_shoreline","6","represented","terrain:w26767328","terrain:w26767328:x_-1__z_-4;terrain:w26767328:x_-2__z_-4","x_-2__z_-4;x_-1__z_-4","direct","","","","","120","62","0","pass"
"w29399800","way","29399800","playable","terrain_shoreline","38","composite_member","land:w26767313","land:w26767313:x_-1__z_-1;land:w26767313:x_-1__z_-2;land:w26767313:x_-1__z_-3;land:w26767313:x_-1__z_-4;land:w26767313:x_-1__z_0;land:w26767313:x_-1__z_1;land:w26767313:x_-1__z_2;land:w26767313:x_-1__z_3;land:w26767313:x_-2__z_-1;land:w26767313:x_-2__z_-2;land:w26767313:x_-2__z_-3;land:w26767313:x_-2__z_-4;land:w26767313:x_-2__z_0;land:w26767313:x_-2__z_1;land:w26767313:x_-2__z_2;land:w26767313:x_-3__z_-1;land:w26767313:x_-3__z_-2;land:w26767313:x_-3__z_-3;land:w26767313:x_-3__z_-4;land:w26767313:x_-3__z_0;land:w26767313:x_0__z_-1;land:w26767313:x_0__z_-2;land:w26767313:x_0__z_-3;land:w26767313:x_0__z_-4;land:w26767313:x_0__z_0;land:w26767313:x_0__z_1;land:w26767313:x_0__z_2;land:w26767313:x_0__z_3;land:w26767313:x_1__z_-1;land:w26767313:x_1__z_-2;land:w26767313:x_1__z_-3;land:w26767313:x_1__z_0;land:w26767313:x_1__z_1;land:w26767313:x_1__z_2;land:w26767313:x_2__z_-1;land:w26767313:x_2__z_0;land:w26767313:x_2__z_1;land:w26767313:x_2__z_2","x_-3__z_-4;x_-3__z_-3;x_-3__z_-2;x_-3__z_-1;x_-3__z_0;x_-2__z_-4;x_-2__z_-3;x_-2__z_-2;x_-2__z_-1;x_-2__z_0;x_-2__z_1;x_-2__z_2;x_-1__z_-4;x_-1__z_-3;x_-1__z_-2;x_-1__z_-1;x_-1__z_0;x_-1__z_1;x_-1__z_2;x_-1__z_3;x_0__z_-4;x_0__z_-3;x_0__z_-2;x_0__z_-1;x_0__z_0;x_0__z_1;x_0__z_2;x_0__z_3;x_1__z_-3;x_1__z_-2;x_1__z_-1;x_1__z_0;x_1__z_1;x_1__z_2;x_2__z_-1;x_2__z_0;x_2__z_1;x_2__z_2","composite","","","land:w26767313","Represented by exact Treasure Island land edge; no YBI ribbon","6968","3548","3548","pass"
"w109025891","way","109025891","playable","terrain_shoreline","2","represented","terrain:w109025891","terrain:w109025891:x_-2__z_-4","x_-2__z_-4","direct","","","","","12","6","0","pass"
"w109025892","way","109025892","playable","terrain_shoreline","2","represented","terrain:w109025892","terrain:w109025892:x_-1__z_-4","x_-1__z_-4","direct","","","","","12","6","0","pass"
